fpl_name,fpl_id,understat_name,understat_id
David Ospina,1,David Ospina,505.0
Petr Cech,2,Petr Cech,491.0
Laurent Koscielny,3,Laurent Koscielny,494.0
Per Mertesacker,4,Per Mertesacker,507.0
Gabriel Armando de Abreu,5,Gabriel,493
Héctor Bellerín,6,Héctor Bellerín,492.0
Kieran Gibbs,7,Kieran Gibbs,545.0
Mathieu Debuchy,8,Mathieu Debuchy,967.0
Carl Jenkinson,9,Carl Jenkinson,938.0
Nacho Monreal,10,Nacho Monreal,495.0
Calum Chambers,11,Calum Chambers,508.0
Alexis Sánchez,12,Alexis Sánchez,498.0
Theo Walcott,13,Theo Walcott,503.0
Mesut Özil,14,Mesut Özil,499.0
Santiago Cazorla,15,Santiago Cazorla,965.0
Aaron Ramsey,16,Aaron Ramsey,504.0
Jack Wilshere,17,Jack Wilshere,1036.0
Alex Oxlade-Chamberlain,18,Alex Oxlade-Chamberlain,966.0
Serge Gnabry,19,,
Francis Coquelin,20,Francis Coquelin,497.0
Alex Iwobi,21,Alex Iwobi,500.0
Mohamed Elneny,22,Mohamed Elneny,496.0
Joel Campbell,23,,
Granit Xhaka,24,Granit Xhaka,204.0
Olivier Giroud,25,Olivier Giroud,502.0
Danny Welbeck,26,Danny Welbeck,501.0
Yaya Sanogo,27,,
Takuma Asano,28,,
Artur Boruc,29,Artur Boruc,455.0
Adam Federici,30,Adam Federici,469.0
Simon Francis,31,Simon Francis,456.0
Steve Cook,32,Steve Cook,458.0
Charlie Daniels,33,Charlie Daniels,459.0
Adam Smith,34,Adam Smith,825.0
Tyrone Mings,35,Tyrone Mings,1024.0
Nathan Aké,36,Nathan Aké,579.0
Harry Arter,37,Harry Arter,881.0
Marc Pugh,38,Marc Pugh,466.0
Andrew Surman,39,Andrew Surman,460.0
Eunan O'Kane,40,,
Shaun MacDonald,41,,
Junior Stanislas,42,Junior Stanislas,463.0
Dan Gosling,43,Dan Gosling,462.0
Max Gradel,44,Max Gradel,464.0
Emerson Hyndman,45,,
Jordon Ibe,46,Jordon Ibe,481.0
Lewis Cook,47,Lewis Cook,1789.0
Joshua King,48,Joshua King,465.0
Callum Wilson,49,Callum Wilson,468.0
Tokelo Rantie,50,,
Lewis Grabban,51,Lewis Grabban,467.0
Benik Afobe,52,Benik Afobe,826.0
Lys Mousset,53,Lys Mousset,1748.0
Tom Heaton,54,Tom Heaton,1651.0
Matthew Lowton,55,Matthew Lowton,1652.0
Ben Mee,56,Ben Mee,1654.0
Stephen Ward,57,Stephen Ward,1655.0
Michael Keane,58,Michael Keane,1653.0
James Tarkowski,59,James Tarkowski,1665.0
Tendayi Darikwa,60,,
David Jones,61,David Jones,1787.0
George Boyd,62,George Boyd,1656.0
Scott Arfield,63,Scott Arfield,1659.0
Dean Marney,64,Dean Marney,1658.0
Fredrik Ulvestad,65,,
Michael Kightly,66,Michael Kightly,1668.0
Sam Vokes,67,Sam Vokes,1661.0
Andre Gray,68,Andre Gray,1660.0
Lukas Jutkiewicz,69,Lukas Jutkiewicz,1664.0
Ashley Barnes,70,Ashley Barnes,4422.0
Rouwen Hennings,71,,
Chris Long,72,,
Thibaut Courtois,73,Thibaut Courtois,680.0
Asmir Begovic,74,Asmir Begovic,694.0
John Terry,75,John Terry,917.0
Branislav Ivanovic,76,Branislav Ivanovic,682.0
César Azpilicueta,77,César Azpilicueta,681.0
Gary Cahill,78,Gary Cahill,699.0
Kurt Zouma,79,Kurt Zouma,935.0
Abdul Rahman Baba,80,,
Matt Miazga,81,,
Eden Hazard,82,Eden Hazard,701.0
Cesc Fàbregas,83,Cesc Fàbregas,686.0
Oscar dos Santos Emboaba Junior,84,Oscar,692.0
Juan Cuadrado,85,,
Willian Borges Da Silva,86,Willian,700.0
Nemanja Matic,87,Nemanja Matic,697.0
Ruben Loftus-Cheek,88,Ruben Loftus-Cheek,688.0
John Obi Mikel,89,,
Pedro Rodríguez Ledesma,90,Pedro,687.0
Bertrand Traore,91,,
Victor Moses,92,Victor Moses,541.0
Marco Van Ginkel,93,,
Robert Kenedy Nunes do Nascimento,94,Kenedy,689
N'Golo Kanté,95,N&#039;Golo Kanté,751.0
Michy Batshuayi,96,Michy Batshuayi,1678.0
Diego Da Silva Costa,97,Diego Costa,802.0
Loïc Remy,98,Loïc Remy,690.0
Julian Speroni,99,,
Wayne Hennessey,100,Wayne Hennessey,509.0
Alex McCarthy,101,,
Steve Mandanda,102,Steve Mandanda,1670.0
James Tomkins,103,James Tomkins,530.0
Scott Dann,104,Scott Dann,512.0
Joel Ward,105,Joel Ward,510.0
Martin Kelly,106,Martin Kelly,525.0
Damien Delaney,107,Damien Delaney,511.0
Pape Souaré,108,Pape Souaré,513.0
Yannick Bolasie,109,Yannick Bolasie,518.0
Jason Puncheon,110,Jason Puncheon,514.0
Wilfried Zaha,111,Wilfried Zaha,522.0
Mile Jedinak,112,Mile Jedinak,515.0
Joe Ledley,113,Joe Ledley,517.0
James McArthur,114,James McArthur,633.0
Jordon Mutch,115,Jordon Mutch,632.0
Jonathan Williams,116,,
Chung-yong Lee,117,Lee Chung-yong,526.0
Yohan Cabaye,118,Yohan Cabaye,516.0
Bakary Sako,119,Bakary Sako,520.0
Andros Townsend,120,Andros Townsend,775.0
Fraizer Campbell,121,Fraizer Campbell,634.0
Connor Wickham,122,Connor Wickham,519.0
Joel Robles,123,Joel Robles,584.0
Maarten Stekelenburg,124,Maarten Stekelenburg,846.0
Leighton Baines,125,Leighton Baines,588.0
Seamus Coleman,126,Seamus Coleman,585.0
Phil Jagielka,127,Phil Jagielka,587.0
John Stones,128,John Stones,586.0
Brendan Galloway,129,Brendan Galloway,909.0
Tyias Browning,130,,
Matthew Pennington,131,Matthew Pennington,920.0
Ramiro Funes Mori,132,Ramiro Funes Mori,597.0
Kevin Mirallas,133,Kevin Mirallas,595.0
Ross Barkley,134,Ross Barkley,592.0
Tom Cleverley,135,Tom Cleverley,596.0
James McCarthy,136,James McCarthy,589.0
Gareth Barry,137,Gareth Barry,590.0
Darron Gibson,138,Darron Gibson,921.0
Muhamed Besic,139,,
Bryan Oviedo,140,Bryan Oviedo,598.0
Gerard Deulofeu,141,Gerard Deulofeu,591.0
Aaron Lennon,142,Aaron Lennon,593.0
Romelu Lukaku,143,Romelu Lukaku,594.0
Arouna Koné,144,Arouna Koné,601.0
Oumar Niasse,145,Oumar Niasse,599.0
Allan McGregor,146,,
Eldin Jakupovic,147,Eldin Jakupovic,1697.0
Brian Lenihan,148,,
Curtis Davies,149,Curtis Davies,1686.0
Michael Dawson,150,Michael Dawson,1744.0
Moses Odubajo,151,,
Andrew Robertson,152,Andrew Robertson,1688.0
Harry Maguire,153,Harry Maguire,1687.0
Alex Bruce,154,,
Robert Snodgrass,155,Robert Snodgrass,1691.0
Sam Clucas,156,Sam Clucas,1690.0
Jake Livermore,157,Jake Livermore,1689.0
Ahmed Elmohamady,158,Ahmed Elmohamady,1685.0
Mohamed Diamé,159,,
Tom Huddlestone,160,Tom Huddlestone,1695.0
David Meyler,161,David Meyler,1693.0
Shaun Maloney,162,Shaun Maloney,1692.0
Abel Hernández,163,Abel Hernández,1698.0
Adama Diomande,164,Adama Diomande,1694.0
Kasper Schmeichel,165,Kasper Schmeichel,745.0
Ron-Robert Zieler,166,Ron-Robert Zieler,91.0
Wes Morgan,167,Wes Morgan,748.0
Christian Fuchs,168,Christian Fuchs,749.0
Jeffrey Schlupp,169,Jeffrey Schlupp,757.0
Marcin Wasilewski,170,Marcin Wasilewski,760.0
Ritchie de Laet,171,,
Danny Simpson,172,Danny Simpson,746.0
Robert Huth,173,Robert Huth,747.0
Yohan Benalouane,174,Yohan Benalouane,974.0
Luis Hernández,175,Luis Hernández,1680.0
Riyad Mahrez,176,Riyad Mahrez,750.0
Marc Albrighton,177,Marc Albrighton,753.0
Andy King,178,Andy King,784.0
Daniel Drinkwater,179,Daniel Drinkwater,752.0
Gökhan Inler,180,,
Demarai Gray,181,Demarai Gray,762.0
Daniel Amartey,182,Daniel Amartey,759.0
Nampalys Mendy,183,Nampalys Mendy,1785.0
Jamie Vardy,184,Jamie Vardy,755.0
Leonardo Ulloa,185,Leonardo Ulloa,756.0
Shinji Okazaki,186,Shinji Okazaki,754.0
Ahmed Musa,187,Ahmed Musa,1681.0
Simon Mignolet,188,Simon Mignolet,487.0
Loris Karius,189,Loris Karius,37.0
Mamadou Sakho,190,Mamadou Sakho,485.0
Dejan Lovren,191,Dejan Lovren,602.0
Alberto Moreno,192,Alberto Moreno,608.0
Nathaniel Clyne,193,Nathaniel Clyne,603.0
Jon Flanagan,194,Jon Flanagan,490.0
Joseph Gomez,195,,
Connor Randall,196,,
Bradley Smith,197,Brad Smith,477.0
Kevin Stewart,198,Kevin Stewart,479.0
Joel Matip,199,Joel Matip,332.0
Leiva Lucas,200,Lucas Leiva,475.0
Jordan Henderson,201,Jordan Henderson,605.0
Joe Allen,202,Joe Allen,480.0
Philippe Coutinho,203,Philippe Coutinho,488.0
Emre Can,204,Emre Can,604.0
Adam Lallana,205,Adam Lallana,486.0
Lazar Markovic,206,Lazar Markovic,4406.0
Oluwaseyi Ojo,207,,
James Milner,208,James Milner,489.0
Roberto Firmino,209,Roberto Firmino,482.0
Cameron Brannagan,210,,
Pedro Chirivella,211,,
Sadio Mané,212,Sadio Mané,838.0
Christian Benteke,213,Christian Benteke,606.0
Daniel Sturridge,214,Daniel Sturridge,483.0
Mario Balotelli,215,,
Danny Ings,216,,
Divock Origi,217,Divock Origi,484.0
Joe Hart,218,,
Willy Caballero,219,Willy Caballero,624.0
Aleksandar Kolarov,220,Aleksandar Kolarov,621.0
Pablo Zabaleta,221,Pablo Zabaleta,610.0
Vincent Kompany,222,Vincent Kompany,612.0
Gaël Clichy,223,Gaël Clichy,613.0
Bacary Sagna,224,Bacary Sagna,625.0
Eliaquim Mangala,225,,
Nicolás Otamendi,226,Nicolás Otamendi,611.0
Fabian Delph,227,Fabian Delph,876.0
Raheem Sterling,228,Raheem Sterling,618.0
Samir Nasri,229,Samir Nasri,877.0
David Silva,230,David Silva,617.0
Gnegneri Yaya Touré,231,Yaya Touré,878.0
Jesús Navas,232,Jesús Navas,616.0
Fernando Luiz Rosa,233,Fernandinho,614
Fernando Francisco Reges,234,Fernando,615
Kevin De Bruyne,235,Kevin De Bruyne,447.0
Ilkay Gündogan,236,Ilkay Gündogan,314.0
Manuel Agudo Durán,237,Nolito,1732
Oleksandr Zinchenko,238,,
Sergio Agüero,239,Sergio Agüero,619.0
Wilfried Bony,240,Wilfried Bony,622.0
Kelechi Iheanacho,241,Kelechi Iheanacho,620.0
David de Gea,242,David de Gea,546.0
Sergio Romero,243,Sergio Romero,560.0
Chris Smalling,244,Chris Smalling,628.0
Phil Jones,245,Phil Jones,951.0
Guillermo Varela,246,,
Luke Shaw,247,Luke Shaw,1006.0
Marcos Rojo,248,Marcos Rojo,550.0
Patrick McNair,249,Paddy McNair,559.0
Antonio Valencia,250,Antonio Valencia,627.0
Matteo Darmian,251,Matteo Darmian,557.0
Cameron Borthwick-Jackson,252,,
Timothy Fosu-Mensah,253,Timothy Fosu-Mensah,549.0
Daley Blind,254,Daley Blind,548.0
Eric Bailly,255,Eric Bailly,1739.0
Juan Mata,256,Juan Mata,554.0
Marouane Fellaini,257,Marouane Fellaini,630.0
Memphis Depay,258,Memphis Depay,555.0
Michael Carrick,259,Michael Carrick,654.0
Ashley Young,260,Ashley Young,631.0
Adnan Januzaj,261,Adnan Januzaj,323.0
Ander Herrera,262,Ander Herrera,552.0
Andreas Pereira,263,,
Morgan Schneiderlin,264,Morgan Schneiderlin,551.0
Bastian Schweinsteiger,265,,
Jesse Lingard,266,Jesse Lingard,558.0
Anthony Martial,267,Anthony Martial,553.0
Henrikh Mkhitaryan,268,Henrikh Mkhitaryan,317.0
Wayne Rooney,269,Wayne Rooney,629.0
James Wilson,270,,
Marcus Rashford,271,Marcus Rashford,556.0
Zlatan Ibrahimovic,272,Zlatan Ibrahimovic,1741.0
Dimitrios Konstantopoulos,273,,
Víctor Valdés,274,Víctor Valdés,1705.0
Daniel Ayala,275,Daniel Ayala,1718.0
George Friend,276,George Friend,1708.0
Dael Fry,277,,
Ben Gibson,278,Ben Gibson,1707.0
Emilio Nsue Lopez,279,Nsue,1757
Bernardo Espinosa Zúñiga,280,Bernardo,1716.0
Albert Adomah,281,Albert Adomah,1782.0
Stewart Downing,282,Stewart Downing,1712.0
Adam Clayton,283,Adam Clayton,1717.0
Grant Leadbitter,284,Grant Leadbitter,5542.0
Adam Reach,285,,
Adam Forshaw,286,Adam Forshaw,1711.0
Carlos De Pena,287,,
Julien de Sart,288,,
Viktor Fischer,289,Viktor Fischer,1713.0
Marten de Roon,290,Marten de Roon,1710.0
David Nugent,291,David Nugent,1753.0
Jordan Rhodes,292,Jordan Rhodes,1714.0
Cristhian Stuani,293,Cristhian Stuani,1709.0
Fraser Forster,294,Fraser Forster,831.0
Paulo Gazzaniga,295,,
Ryan Bertrand,296,Ryan Bertrand,835.0
Jose Fonte,297,José Fonte,834.0
Maya Yoshida,298,Maya Yoshida,845.0
Matt Targett,299,Matt Targett,884.0
Florin Gardos,300,,
Cédric Soares,301,Cédric Soares,847.0
Cuco Martina,302,Cuco Martina,832.0
Virgil van Dijk,303,Virgil van Dijk,833.0
Nathan Redmond,304,Nathan Redmond,790.0
Steven Davis,305,Steven Davis,883.0
James Ward-Prowse,306,James Ward-Prowse,843.0
Harrison Reed,307,Harrison Reed,910.0
Dusan Tadic,308,Dusan Tadic,840.0
Jordy Clasie,309,Jordy Clasie,837.0
Oriol Romeu Vidal,310,Oriol Romeu,842.0
Jay Rodriguez,311,Jay Rodriguez,844.0
Pierre-Emile Højbjerg,312,Pierre-Emile Højbjerg,343.0
Shane Long,313,Shane Long,839.0
Charlie Austin,314,Charlie Austin,848.0
Shay Given,315,Shay Given,889.0
Jack Butland,316,Jack Butland,856.0
Jakob Haugaard,317,,
Ryan Shawcross,318,Ryan Shawcross,886.0
Marc Wilson,319,Marc Wilson,945.0
Geoff Cameron,320,Geoff Cameron,859.0
Erik Pieters,321,Erik Pieters,887.0
Marc Muniesa,322,Marc Muniesa,860.0
Phil Bardsley,323,Phil Bardsley,857.0
Philipp Wollscheid,324,Philipp Wollscheid,858.0
Glen Johnson,325,Glen Johnson,944.0
Dionatan do Nascimento Teixeira,326,,
Stephen Ireland,327,,
Charlie Adam,328,Charlie Adam,873.0
Glenn Whelan,329,Glenn Whelan,862.0
Jonathan Walters,330,Jonathan Walters,863.0
Marko Arnautovic,331,Marko Arnautovic,865.0
Ibrahim Afellay,332,Ibrahim Afellay,864.0
Xherdan Shaqiri,333,Xherdan Shaqiri,888.0
